country_code,country_name,region,income_level,indicator_code,indicator_name,value,year
CRI,Costa Rica,Latin America & Caribbean ,High income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",10.4,2024
CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",64.5,2024
HRV,Croatia,Europe & Central Asia,High income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",5.6,2024
CUB,Cuba,Latin America & Caribbean ,Upper middle income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",8.6,2024
CYP,Cyprus,Europe & Central Asia,High income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",5.0,2024
CZE,Czechia,Europe & Central Asia,High income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2.6,2024
DNK,Denmark,Europe & Central Asia,High income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",4.0,2024
DJI,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",48.9,2024
DMA,Dominica,Latin America & Caribbean ,Upper middle income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",35.7,2024
DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",30.6,2024
ECU,Ecuador,Latin America & Caribbean ,Upper middle income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",12.9,2024
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",22.4,2024
SLV,El Salvador,Latin America & Caribbean ,Upper middle income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",10.0,2024
GNQ,Equatorial Guinea,Sub-Saharan Africa ,Upper middle income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",68.0,2024
ERI,Eritrea,Sub-Saharan Africa ,Low income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",34.3,2024
EST,Estonia,Europe & Central Asia,High income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2.0,2024
SWZ,Eswatini,Sub-Saharan Africa ,Lower middle income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",45.1,2024
ETH,Ethiopia,Sub-Saharan Africa ,Not classified,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",44.5,2024
FJI,Fiji,East Asia & Pacific,Upper middle income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",29.1,2024
FIN,Finland,Europe & Central Asia,High income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",2.4,2024
FRA,France,Europe & Central Asia,High income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",4.3,2024
GAB,Gabon,Sub-Saharan Africa ,Upper middle income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",32.6,2024
GMB,"Gambia, The",Sub-Saharan Africa ,Low income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",42.4,2024
GEO,Georgia,Europe & Central Asia,Upper middle income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",8.6,2024
DEU,Germany,Europe & Central Asia,High income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",3.7,2024
GHA,Ghana,Sub-Saharan Africa ,Lower middle income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",35.9,2024
GRC,Greece,Europe & Central Asia,High income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",3.8,2024
GRD,Grenada,Latin America & Caribbean ,Upper middle income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",18.0,2024
GTM,Guatemala,Latin America & Caribbean ,Upper middle income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",20.5,2024
GIN,Guinea,Sub-Saharan Africa ,Lower middle income,SH.DYN.MORT,"Mortality rate, under-5 (per 1,000 live births)",92.1,2024
